user_id,is_churn,churn_prob,risk_segment,loan_count,days_since_last_activity,avg_transaction_amount
121,0,0.2862141352580283,Low-Risk,4,37,4965699.25
122,0,0.3408454293183694,Medium-Risk,2,27,2380439.5
123,1,0.8614836181325907,High-Risk,1,45,4749292.0
124,0,0.1907219244842497,Low-Risk,5,4,2223431.6
125,1,0.890579081322621,High-Risk,1,86,4519425.0
126,0,0.2925485308947058,Low-Risk,6,88,4198204.5
127,0,0.2785737100263265,Low-Risk,5,37,2207784.8
128,1,0.8671990235972749,High-Risk,1,71,3842849.0
129,1,0.7942890169457878,High-Risk,1,33,5215011.0
130,0,0.4114325710421842,Medium-Risk,6,31,3021771.0
131,0,0.37186170326273604,Medium-Risk,2,55,4156815.0
132,0,0.2759999489417924,Low-Risk,2,12,3748813.0
133,0,0.2943108450337098,Low-Risk,2,11,4448621.0
134,0,0.5083854890551158,Medium-Risk,2,88,788346.5
135,0,0.3130740392128551,Medium-Risk,6,72,4445927.666666667
136,1,0.5735356058487384,Medium-Risk,6,32,4580775.666666667
137,1,0.48817751186239766,Medium-Risk,7,57,2366284.0
138,0,0.28792516389492734,Low-Risk,6,38,4690292.833333333
139,1,0.8741218561974915,High-Risk,1,60,4172091.0
140,0,0.31865397429134584,Medium-Risk,3,86,3193098.0
141,1,0.34381068966838485,Medium-Risk,3,19,5063482.0
142,0,0.427576511193771,Medium-Risk,2,84,1189586.0
143,1,0.5572550775172848,Medium-Risk,7,56,3216724.8571428573
144,0,0.1545063996213917,Low-Risk,3,14,2560522.6666666665
145,1,0.7847345410527135,High-Risk,1,33,1422014.0
146,1,0.4037798061875773,Medium-Risk,2,10,1929573.0
147,0,0.35636041364083154,Medium-Risk,7,80,3805538.5714285714
148,1,0.9072111059526701,High-Risk,1,64,2867549.0
149,0,0.40515759502202614,Medium-Risk,5,64,5913858.2
150,0,0.24612608654572996,Low-Risk,4,62,1928146.75
151,0,0.24424301589916608,Low-Risk,3,68,5296275.333333333
152,0,0.2793802844178597,Low-Risk,5,43,3652776.4
153,0,0.47605675175674195,Medium-Risk,7,80,2920837.285714286
154,0,0.45412110028428265,Medium-Risk,2,59,3879498.5
155,1,0.5354600802062511,Medium-Risk,7,52,3931156.142857143
156,0,0.2540174582126145,Low-Risk,3,19,4691432.666666667
157,0,0.27149539759478325,Low-Risk,3,21,4504559.666666667
158,0,0.1854516844165324,Low-Risk,6,22,4775525.5
159,0,0.35042390402333934,Medium-Risk,6,9,2865694.5
160,0,0.2542734049891825,Low-Risk,5,9,1784857.8
161,1,0.2881585028756833,Low-Risk,6,73,3228707.833333333
162,0,0.386598753750965,Medium-Risk,5,27,4289998.8
163,0,0.25621177050189275,Low-Risk,2,17,4613061.5
164,0,0.4497388201486752,Medium-Risk,7,44,4783760.857142857
165,0,0.4055593471420548,Medium-Risk,5,45,3092185.8
166,1,0.48440086537794985,Medium-Risk,7,8,3344878.0
167,1,0.8839121481018212,High-Risk,1,80,4994097.0
168,0,0.25284596950419563,Low-Risk,3,18,4318232.333333333
169,0,0.2616984670248157,Low-Risk,4,33,2805479.5
170,0,0.2526115971276188,Low-Risk,5,1,2666556.4
171,0,0.23816503037739886,Low-Risk,4,76,2691219.75
172,0,0.16257299980592482,Low-Risk,6,6,2497222.6666666665
173,0,0.2179196005674322,Low-Risk,5,41,3565217.4
174,0,0.3282374856790714,Medium-Risk,6,55,4682619.5
175,0,0.37665671012982493,Medium-Risk,7,5,4157337.714285714
176,1,0.4601789056584352,Medium-Risk,6,59,3528433.833333333
177,1,0.4567340887229625,Medium-Risk,4,80,4169708.5
178,0,0.18002946840392645,Low-Risk,6,18,4775366.5
179,0,0.38973310474534417,Medium-Risk,7,49,3233034.571428572
180,0,0.24064407809228228,Low-Risk,6,82,2261711.833333333
181,0,0.25524405353626495,Low-Risk,3,65,3884635.0
182,0,0.32817965657195264,Medium-Risk,4,83,4714321.25
183,0,0.32275620907460395,Medium-Risk,5,54,3874684.2
184,1,0.5141664322781051,Medium-Risk,6,61,4740662.166666667
185,1,0.4306425337382665,Medium-Risk,3,8,3718110.0
186,0,0.23295244832753645,Low-Risk,3,3,5126107.0
187,0,0.5608244348048234,Medium-Risk,1,25,5294914.0
188,0,0.19918673103434334,Low-Risk,6,69,3911977.3333333335
189,0,0.2387996799587926,Low-Risk,7,55,2545225.285714286
190,0,0.2675101461577904,Low-Risk,5,40,3206591.6
191,0,0.2875704072303588,Low-Risk,2,83,4814025.5
192,1,0.5103566769093042,Medium-Risk,4,82,4371124.25
193,0,0.38475849202749013,Medium-Risk,4,50,4105416.0
194,0,0.2677636407754196,Low-Risk,4,33,3986441.0
195,0,0.35020179916799615,Medium-Risk,7,18,3535532.571428572
196,0,0.31901576179648644,Medium-Risk,7,57,3595654.4285714286
197,0,0.25145210156252207,Low-Risk,6,16,3212552.1666666665
198,1,0.4165822116079092,Medium-Risk,2,80,4209831.0
199,0,0.2879699659723958,Low-Risk,6,38,3489994.1666666665
200,0,0.2521458121435505,Low-Risk,3,41,4713214.0
201,0,0.37507384212969064,Medium-Risk,1,7,6407561.0
202,1,0.8425449762897369,High-Risk,1,78,797389.0
203,1,0.232003884396075,Low-Risk,2,53,5544476.5
204,0,0.4011534007842801,Medium-Risk,7,63,4110257.4285714286
205,1,0.504458487704463,Medium-Risk,2,89,2944274.0
206,0,0.49945755307588047,Medium-Risk,7,32,3233473.571428572
207,0,0.27307945588657745,Low-Risk,4,38,4067131.0
208,0,0.31485986839886193,Medium-Risk,4,22,4158617.75
209,0,0.5453129294924751,Medium-Risk,1,16,235797.0
210,0,0.37215507555468996,Medium-Risk,5,52,4552307.8
211,1,0.5590667778062922,Medium-Risk,7,29,3689992.0
212,0,0.20294865468549897,Low-Risk,5,16,2819105.8
213,0,0.4071790165698876,Medium-Risk,4,76,3341450.5
214,0,0.49923054864249217,Medium-Risk,1,17,5080142.0
215,1,0.7855702440213643,High-Risk,1,64,5152683.0
216,0,0.3064858648304993,Medium-Risk,6,89,2669376.1666666665
217,0,0.535619466270128,Medium-Risk,1,13,659031.0
218,0,0.442599957504394,Medium-Risk,4,72,3151335.75
219,0,0.19208408935864626,Low-Risk,3,56,4694054.333333333
220,0,0.21949717576763794,Low-Risk,5,5,3040458.2
221,0,0.2765272500888154,Low-Risk,5,12,3800902.8
222,1,0.8056170879257698,High-Risk,1,41,1276957.0
223,0,0.32960275282146767,Medium-Risk,4,3,4129869.75
224,1,0.5786745056747896,Medium-Risk,7,33,3003068.0
225,0,0.33399948533901475,Medium-Risk,7,86,3204562.1428571427
226,0,0.2690683260570389,Low-Risk,6,50,3320110.0
227,0,0.21255017167010887,Low-Risk,5,56,2745803.0
228,0,0.44764771651633034,Medium-Risk,7,9,4283562.714285715
229,1,0.5020138866661178,Medium-Risk,3,82,3430910.0
230,0,0.27172551965876646,Low-Risk,3,50,4087792.6666666665
231,1,0.5118299570017824,Medium-Risk,3,29,4205993.333333333
232,1,0.5519010231554323,Medium-Risk,3,39,4187266.6666666665
233,0,0.3067672040544192,Medium-Risk,2,45,4799637.0
234,0,0.2641224827829333,Low-Risk,3,17,4604417.0
235,0,0.4415023198789324,Medium-Risk,7,56,3159131.571428572
236,0,0.3827624257476703,Medium-Risk,7,46,1787861.4285714286
237,1,0.5850907097099427,Medium-Risk,1,67,6170928.0
238,0,0.37832305407712746,Medium-Risk,2,69,3451676.5
239,0,0.5378779735920937,Medium-Risk,1,14,4034740.0
240,0,0.2616696695440114,Low-Risk,5,67,1499507.8
241,0,0.3140137658015672,Medium-Risk,7,23,2855803.1428571427
242,1,0.580787902153944,Medium-Risk,7,61,3856744.0
243,0,0.5284143785631574,Medium-Risk,1,23,1408064.0
244,1,0.5016233445084474,Medium-Risk,5,27,4066762.2
245,0,0.2417630802864063,Low-Risk,5,54,2870494.6
246,0,0.3333372150959605,Medium-Risk,2,10,3301795.5
247,1,0.8395302294391456,High-Risk,1,89,1134780.0
248,0,0.39072406087293465,Medium-Risk,7,77,2721007.571428572
249,0,0.5953526683224474,Medium-Risk,1,16,3201004.0
250,1,0.781874235564948,High-Risk,1,41,2010155.0
