"user_id","acquisition_channel","city","last_activity_date","days_inactive","is_churn"
58,"Organic","Surabaya","2025-04-26",389,0
49,"Ads","Surabaya","2025-04-26",389,0
17,"Affiliate","Jakarta","2025-04-26",389,0
110,"Referral","Jakarta","2025-04-27",388,0
41,"Referral","Bandung","2025-04-27",388,0
171,"Affiliate","Bandung","2025-04-27",388,0
34,"Ads","Jakarta","2025-04-27",388,0
51,"Referral","Jakarta","2025-04-27",388,0
67,"Affiliate","Jakarta","2025-04-27",388,0
162,"Organic","Bandung","2025-04-27",388,0
86,"Referral","Surabaya","2025-04-28",387,0
200,"Referral","Bandung","2025-04-28",387,0
241,"Ads","Jakarta","2025-04-28",387,0
84,"Affiliate","Surabaya","2025-04-28",387,0
81,"Referral","Surabaya","2025-04-28",387,0
37,"Affiliate","Surabaya","2025-04-28",387,0
63,"Organic","Surabaya","2025-04-28",387,0
109,"Ads","Bandung","2025-04-28",387,0
165,"Ads","Jakarta","2025-04-28",387,0
96,"Ads","Bandung","2025-04-28",387,0
124,"Referral","Surabaya","2025-04-28",387,0
248,"Organic","Jakarta","2025-04-28",387,0
33,"Affiliate","Jakarta","2025-04-28",387,0
98,"Affiliate","Bandung","2025-04-29",386,0
134,"Organic","Surabaya","2025-04-29",386,0
152,"Referral","Jakarta","2025-04-29",386,0
169,"Referral","Jakarta","2025-04-29",386,0
153,"Organic","Surabaya","2025-04-29",386,0
135,"Referral","Jakarta","2025-04-29",386,0
220,"Referral","Jakarta","2025-04-29",386,0
32,"Organic","Bandung","2025-04-29",386,0
157,"Referral","Surabaya","2025-04-29",386,0
16,"Organic","Surabaya","2025-04-29",386,0
172,"Organic","Bandung","2025-04-29",386,0
121,"Affiliate","Surabaya","2025-04-29",386,0
10,"Ads","Jakarta","2025-04-29",386,0
150,"Affiliate","Jakarta","2025-04-30",385,0
159,"Organic","Surabaya","2025-04-30",385,0
196,"Ads","Bandung","2025-04-30",385,0
249,"Organic","Bandung","2025-04-30",385,0
180,"Referral","Bandung","2025-04-30",385,0
6,"Affiliate","Bandung","2025-04-30",385,0
93,"Ads","Surabaya","2025-04-30",385,0
103,"Ads","Jakarta","2025-04-30",385,0
154,"Referral","Jakarta","2025-04-30",385,0
213,"Organic","Jakarta","2025-04-30",385,0
70,"Ads","Surabaya","2025-04-30",385,0
160,"Affiliate","Surabaya","2025-04-30",385,0
227,"Organic","Jakarta","2025-04-30",385,0
73,"Organic","Bandung","2025-04-30",385,0
