user_id,loan_count,avg_transaction_amount,days_since_last_activity,is_churn,churn_date
188,6,3911977.3333333335,69,0,
189,7,2545225.285714286,55,0,
190,5,3206591.6,40,0,
191,2,4814025.5,83,0,
192,4,4371124.25,82,1,1743206400000000000
193,4,4105416.0,50,0,
194,4,3986441.0,33,0,
195,7,3535532.5714285714,18,0,
196,7,3595654.4285714286,57,0,
197,6,3212552.1666666665,16,0,
198,2,4209831.0,80,1,1742860800000000000
199,6,3489994.1666666665,38,0,
200,3,4713214.0,41,0,
201,1,6407561.0,7,0,
202,1,797389.0,78,1,1741219200000000000
203,2,5544476.5,53,1,1742169600000000000
204,7,4110257.4285714286,63,0,
205,2,2944274.0,89,1,1738108800000000000
206,7,3233473.5714285714,32,0,
207,4,4067131.0,38,0,
208,4,4158617.75,22,0,
209,1,235797.0,16,0,
210,5,4552307.8,52,0,
211,7,3689992.0,29,1,1736294400000000000
212,5,2819105.8,16,0,
213,4,3341450.5,76,0,
214,1,5080142.0,17,0,
215,1,5152683.0,64,1,1738022400000000000
216,6,2669376.1666666665,89,0,
217,1,659031.0,13,0,
218,4,3151335.75,72,0,
219,3,4694054.333333333,56,0,
220,5,3040458.2,5,0,
221,5,3800902.8,12,0,
222,1,1276957.0,41,1,1742774400000000000
223,4,4129869.75,3,0,
224,7,3003068.0,33,1,1743033600000000000
225,7,3204562.1428571427,86,0,
226,6,3320110.0,50,0,
227,5,2745803.0,56,0,
228,7,4283562.714285715,9,0,
229,3,3430910.0,82,1,1737590400000000000
230,3,4087792.6666666665,50,0,
231,3,4205993.333333333,29,1,1743120000000000000
232,3,4187266.6666666665,39,1,1739404800000000000
233,2,4799637.0,45,0,
234,3,4604417.0,17,0,
235,7,3159131.5714285714,56,0,
236,7,1787861.4285714286,46,0,
237,1,6170928.0,67,1,1742860800000000000
238,2,3451676.5,69,0,
239,1,4034740.0,14,0,
240,5,1499507.8,67,0,
241,7,2855803.1428571427,23,0,
242,7,3856744.0,61,1,1735948800000000000
243,1,1408064.0,23,0,
244,5,4066762.2,27,1,1740528000000000000
245,5,2870494.6,54,0,
246,2,3301795.5,10,0,
247,1,1134780.0,89,1,1737763200000000000
248,7,2721007.5714285714,77,0,
249,1,3201004.0,16,0,
250,1,2010155.0,41,1,1739923200000000000
