user_id,signup_date,acquisition_channel,age,city
180,2024-06-28,Referral,39.0,Bandung
181,2024-06-29,Organic,37.0,Bandung
182,2024-06-30,Referral,39.0,Bandung
183,2024-07-01,Ads,48.0,Bandung
184,2024-07-02,Referral,46.0,Jakarta
185,2024-07-03,Organic,,Jakarta
186,2024-07-04,Organic,,Surabaya
187,2024-07-05,Ads,29.0,Bandung
188,2024-07-06,Referral,32.0,Surabaya
189,2024-07-07,Referral,21.0,Jakarta
190,2024-07-08,Ads,21.0,Jakarta
191,2024-07-09,Referral,54.0,Jakarta
192,2024-07-10,Referral,52.0,Jakarta
193,2024-07-11,Organic,45.0,Jakarta
194,2024-07-12,Referral,21.0,Jakarta
195,2024-07-13,Referral,36.0,Jakarta
196,2024-07-14,Ads,25.0,Bandung
197,2024-07-15,Ads,42.0,Surabaya
198,2024-07-16,Affiliate,49.0,Jakarta
199,2024-07-17,Organic,23.0,Bandung
200,2024-07-18,Referral,32.0,Bandung
201,2024-07-19,Referral,46.0,Surabaya
202,2024-07-20,Affiliate,36.0,Jakarta
203,2024-07-21,Referral,42.0,Surabaya
204,2024-07-22,Organic,49.0,Jakarta
205,2024-07-23,Affiliate,34.0,Bandung
206,2024-07-24,Organic,48.0,Bandung
207,2024-07-25,Affiliate,25.0,Bandung
208,2024-07-26,Affiliate,50.0,Bandung
209,2024-07-27,Ads,25.0,Surabaya
210,2024-07-28,Organic,32.0,Jakarta
211,2024-07-29,Referral,36.0,Jakarta
212,2024-07-30,Referral,46.0,Surabaya
213,2024-07-31,Organic,46.0,Jakarta
214,2024-08-01,Referral,,Bandung
215,2024-08-02,Referral,53.0,Jakarta
216,2024-08-03,Organic,50.0,Bandung
217,2024-08-04,Affiliate,43.0,Surabaya
218,2024-08-05,Organic,30.0,Jakarta
219,2024-08-06,Affiliate,25.0,Surabaya
220,2024-08-07,Referral,54.0,Jakarta
221,2024-08-08,Referral,51.0,Bandung
222,2024-08-09,Referral,30.0,Surabaya
223,2024-08-10,Ads,39.0,Jakarta
224,2024-08-11,Affiliate,52.0,Bandung
225,2024-08-12,Ads,21.0,Surabaya
226,2024-08-13,Ads,25.0,Surabaya
227,2024-08-14,Organic,24.0,Jakarta
228,2024-08-15,Ads,36.0,Jakarta
229,2024-08-16,Organic,44.0,Jakarta
230,2024-08-17,Organic,36.0,Bandung
231,2024-08-18,Ads,22.0,Jakarta
232,2024-08-19,Affiliate,48.0,Surabaya
233,2024-08-20,Affiliate,52.0,Surabaya
234,2024-08-21,Affiliate,47.0,Jakarta
235,2024-08-22,Affiliate,40.0,Jakarta
236,2024-08-23,Affiliate,44.0,Surabaya
237,2024-08-24,Ads,32.0,Bandung
238,2024-08-25,Ads,53.0,Jakarta
239,2024-08-26,Referral,53.0,Jakarta
240,2024-08-27,Affiliate,32.0,Surabaya
241,2024-08-28,Ads,23.0,Jakarta
242,2024-08-29,Referral,21.0,Bandung
243,2024-08-30,Affiliate,53.0,Surabaya
244,2024-08-31,Organic,30.0,Jakarta
245,2024-09-01,Referral,49.0,Surabaya
246,2024-09-02,Ads,33.0,Jakarta
247,2024-09-03,Organic,32.0,Jakarta
248,2024-09-04,Organic,51.0,Jakarta
249,2024-09-05,Organic,22.0,Bandung
250,2024-09-06,Referral,43.0,Bandung
