user_id,transaction_date,amount
18,2025-04-07,4491649
18,2025-04-21,3000203
18,2025-01-06,1750870
19,2025-04-06,908062
19,2025-01-27,3089159
19,2025-01-01,4934028
19,2025-04-17,767538
20,2025-03-10,2162624
20,2025-01-17,4745373
20,2025-01-08,2047175
20,2025-02-26,4361663
21,2025-04-30,4580609
21,2025-03-28,1005352
22,2025-02-22,6720913
22,2025-02-23,2378598
22,2025-03-25,4711534
23,2025-03-03,1780664
23,2025-02-24,3646434
24,2025-04-17,2819713
24,2025-02-04,4246477
24,2025-02-18,682933
24,2025-02-15,421199
24,2025-02-07,5462695
24,2025-01-08,1026502
25,2025-04-18,129092
25,2025-01-17,5213050
25,2025-02-02,757191
25,2025-02-16,6704321
25,2025-04-20,2487807
25,2025-02-21,6464238
26,2025-01-21,307580
26,2025-02-27,869032
26,2025-03-26,1772992
26,2025-03-10,4842256
26,2025-01-10,3872380
26,2025-01-06,6118252
27,2025-02-26,2751788
27,2025-04-21,3655392
27,2025-02-15,2468787
28,2025-04-15,3115624
28,2025-03-08,6653968
29,2025-03-30,1795625
29,2025-01-11,5073232
29,2025-03-03,2062160
30,2025-04-14,3937478
30,2025-01-01,6926036
30,2025-02-25,4124537
30,2025-04-28,2880877
30,2025-01-04,2720390
30,2025-01-30,3131863
31,2025-04-12,5980823
31,2025-04-17,3133932
31,2025-03-28,721747
31,2025-03-09,2595902
32,2025-03-16,3619567
32,2025-02-25,4461862
32,2025-04-07,1083061
32,2025-02-27,396412
33,2025-02-24,5637983
33,2025-04-13,6535834
33,2025-04-16,6568710
33,2025-03-03,2795563
33,2025-04-22,1598118
34,2025-04-08,6500231
34,2025-04-19,5140360
35,2025-01-02,416790
35,2025-01-13,2016195
35,2025-01-31,3647480
35,2025-04-03,3887415
35,2025-04-24,145712
36,2025-04-14,192091
36,2025-03-20,5690938
36,2025-02-02,5524782
36,2025-01-20,993150
37,2025-01-23,1032196
37,2025-03-13,2149736
38,2025-01-31,1663482
38,2025-04-11,1730872
38,2025-04-22,1625068
38,2025-04-17,5704342
38,2025-02-23,4714228
38,2025-01-05,6009100
39,2025-02-16,3344699
39,2025-04-13,3183562
39,2025-03-12,2235896
39,2025-02-07,4672530
39,2025-04-06,2516738
40,2025-02-06,6960861
40,2025-04-29,2026252
40,2025-04-24,2174278
41,2025-04-20,1180701
41,2025-03-22,1378343
41,2025-02-11,6783600
41,2025-03-17,3132115
41,2025-04-22,790778
41,2025-04-20,4144064
42,2025-04-23,6059322
42,2025-03-05,6136207
42,2025-04-03,1329959
42,2025-04-24,5039158
42,2025-01-20,3443867
42,2025-01-16,6462473
43,2025-01-19,871279
44,2025-02-13,1688404
44,2025-03-01,1905148
44,2025-03-17,5413128
44,2025-04-29,352515
44,2025-01-17,3992825
44,2025-03-20,5453374
45,2025-02-11,2076230
46,2025-03-20,6503679
46,2025-04-06,5914104
46,2025-01-06,3863302
46,2025-04-18,1026097
47,2025-04-12,2610963
47,2025-04-30,6959938
47,2025-02-23,1853313
48,2025-03-10,2903005
49,2025-03-30,2364719
49,2025-04-06,5356583
50,2025-03-17,4226553
50,2025-04-27,5198227
50,2025-04-02,3304181
50,2025-03-11,1761342
50,2025-01-20,919593
50,2025-01-05,3432791
51,2025-01-22,6373672
51,2025-03-05,5673945
51,2025-01-08,4986202
51,2025-01-20,4919164
51,2025-02-20,1116783
51,2025-03-19,4006997
51,2025-02-08,5612237
52,2025-01-31,663889
52,2025-02-23,6203201
52,2025-02-13,377834
52,2025-02-03,5606933
52,2025-04-24,5685056
53,2025-01-03,4098585
53,2025-02-07,2916112
53,2025-03-25,4923062
53,2025-02-03,1832141
53,2025-04-23,4383191
53,2025-02-13,935544
53,2025-04-18,2339164
54,2025-01-18,6649264
54,2025-02-14,4106714
54,2025-04-18,2114601
54,2025-04-01,1916418
54,2025-02-28,4047347
54,2025-03-03,5052575
55,2025-01-10,5623632
55,2025-01-11,3219331
55,2025-04-12,4103487
56,2025-01-17,934938
56,2025-04-14,907400
56,2025-04-14,4684125
56,2025-02-23,6605134
56,2025-03-17,3666881
56,2025-03-26,6572036
57,2025-04-25,4249570
57,2025-03-05,405745
57,2025-03-24,1879892
58,2025-02-12,6461349
58,2025-02-08,4643247
58,2025-02-18,4807527
58,2025-04-23,4080527
58,2025-01-12,5618225
58,2025-04-19,1020243
58,2025-01-10,3521103
59,2025-02-24,2935309
59,2025-01-25,3978016
59,2025-01-07,112336
59,2025-04-16,5158211
59,2025-03-22,1569204
59,2025-04-03,3058963
59,2025-04-04,3291319
60,2025-03-09,4246118
60,2025-04-10,5526967
60,2025-04-02,974506
60,2025-02-26,3576808
60,2025-01-13,3457707
60,2025-01-23,943810
60,2025-03-24,43316140
61,2025-03-29,5656452
61,2025-03-21,6764102
62,2025-03-12,5086145
63,2025-03-03,2962750
63,2025-01-13,5079676
63,2025-01-31,2161439
64,2025-02-26,1960966
64,2025-03-16,1355950
65,2025-03-16,4632070
65,2025-01-29,1650531
66,2025-02-08,3533468
66,2025-03-18,5942959
67,2025-03-12,2307312
67,2025-04-12,5489716
67,2025-01-08,6025803
67,2025-03-18,4775195
67,2025-04-11,5510322
68,2025-03-16,881608
68,2025-03-29,5428381
69,2025-04-17,5621980
69,2025-01-29,5225702
69,2025-04-17,6370968
69,2025-04-13,1640710
69,2025-03-07,3446386
69,2025-01-19,5883877
70,2025-03-02,4394329
70,2025-04-02,12997280
70,2025-01-30,1643992
70,2025-03-12,2381636
71,2025-04-07,867128
72,2025-03-06,534368
72,2025-03-18,3666194
72,2025-04-11,2020773
72,2025-03-25,6177449
72,2025-03-06,2934523
72,2025-02-21,1267498
72,2025-03-08,616576
73,2025-01-31,2270856
73,2025-04-01,631149
74,2025-04-20,965718
75,2025-01-25,168515
75,2025-01-02,516740
75,2025-04-29,2466361
75,2025-03-27,5507317
75,2025-01-05,1993884
76,2025-04-28,3214659
76,2025-04-11,1764005
76,2025-04-29,6348084
76,2025-03-30,6637932
77,2025-03-25,6817366
77,2025-02-02,4121926
78,2025-04-30,6343383
78,2025-03-25,1812355
78,2025-01-29,541168
78,2025-04-02,789197
78,2025-01-08,6047117
78,2025-03-29,599471
79,2025-03-07,3748984
79,2025-03-20,110514
79,2025-03-27,2244608
80,2025-02-02,5191281
80,2025-01-05,728373
80,2025-03-31,733389
80,2025-03-18,1257260
81,2025-01-24,3455000
81,2025-03-08,3681311
81,2025-04-21,6258157
82,2025-04-09,3896286
82,2025-02-17,2061328
82,2025-03-04,4189437
83,2025-02-18,293691
83,2025-03-26,6669643
83,2025-02-26,3684476
83,2025-03-28,6623818
83,2025-03-25,6588464
83,2025-03-05,4575687
84,2025-03-15,2692440
84,2025-04-17,579969
84,2025-03-11,6600553
85,2025-01-27,4495223
85,2025-02-27,3031659
85,2025-04-19,299542
85,2025-02-06,1820342
86,2025-03-20,4184032
86,2025-03-31,1323045
86,2025-03-13,4941905
86,2025-02-20,3004936
86,2025-03-29,2036983
86,2025-02-17,1504568
87,2025-02-15,599964
87,2025-02-05,6445669
87,2025-02-27,3097493
87,2025-03-17,899458
87,2025-02-07,6738784
87,2025-01-11,105435
88,2025-01-11,5182281
88,2025-02-05,4854417
88,2025-02-21,1427654
88,2025-01-31,2727014
89,2025-01-18,547628
90,2025-02-25,3119065
91,2025-01-31,2748191
92,2025-02-12,156572
92,2025-01-31,6190728
92,2025-03-11,3650985
92,2025-03-08,2613595
92,2025-02-25,2233221
92,2025-03-04,837550
92,2025-03-16,5107106
93,2025-01-15,5946636
93,2025-01-18,784659
93,2025-03-23,539717
93,2025-04-26,812494
93,2025-04-15,6794449
93,2025-03-29,5485201
93,2025-01-02,3890918
94,2025-02-11,5219641
94,2025-01-05,5853670
94,2025-01-11,1195589
94,2025-03-06,4935933
95,2025-03-24,6881303
95,2025-01-02,2021792
96,2025-03-09,1639219
96,2025-01-12,4580572
96,2025-01-22,4102262
96,2025-01-20,4689716
96,2025-03-23,4093687
97,2025-04-07,6163389
98,2025-02-24,1233859
98,2025-03-18,1193060
98,2025-03-21,2798954
98,2025-01-24,3335863
98,2025-03-18,2495067
98,2025-01-24,3751422
99,2025-04-23,2712761
99,2025-03-16,2095457
99,2025-02-20,1113071
99,2025-02-04,5523525
99,2025-02-12,4992397
99,2025-01-29,3375072
100,2025-01-28,1284592
100,2025-01-29,2245977
100,2025-02-12,2211029
100,2025-01-03,6814662
100,2025-04-26,2326217
101,2025-01-14,4690778
101,2025-03-17,1400457
102,2025-02-25,1581257
102,2025-04-16,2151933
102,2025-01-02,2999359
102,2025-03-22,5812671
102,2025-01-30,2886719
102,2025-04-30,3661497
102,2025-04-13,6314016
103,2025-03-25,313299
103,2025-02-22,2871034
103,2025-03-24,242728
103,2025-04-10,771253
103,2025-02-09,1653185
103,2025-02-14,6788304
103,2025-03-09,1106152
104,2025-01-22,5115551
105,2025-02-12,6451563
105,2025-02-08,6736393
106,2025-02-17,6324594
107,2025-02-06,6332302
107,2025-04-13,1241766
107,2025-03-24,876644
107,2025-04-28,6359471
107,2025-02-06,3463712
107,2025-03-22,624658
108,2025-03-13,6229877
108,2025-03-02,6205661
109,2025-03-01,2703680
109,2025-03-23,1570017
109,2025-04-17,2767293
109,2025-03-15,6309774
109,2025-01-24,2884787
110,2025-01-18,1767108
110,2025-03-29,2953507
110,2025-03-07,1881336
110,2025-02-17,724588
111,2025-03-24,2589913
112,2025-04-13,2778306
113,2025-03-01,4587561
113,2025-04-21,1919456
113,2025-01-15,5882569
113,2025-04-09,6273268
113,2025-02-26,1364008
114,2025-03-28,1359112
114,2025-03-12,3976345
114,2025-02-25,5419573
114,2025-01-23,3280863
114,2025-04-18,6856904
115,2025-01-06,4076808
116,2025-03-01,4844353
116,2025-03-11,5083998
116,2025-02-06,1653416
116,2025-01-31,30561560
116,2025-04-08,5074384
116,2025-02-10,2381696
116,2025-03-03,6741458
117,2025-01-08,5262425
117,2025-01-26,2152109
117,2025-02-05,2608963
117,2025-02-17,5927316
117,2025-03-26,1981934
118,2025-03-17,294243
118,2025-03-21,5855325
118,2025-02-20,4551535
118,2025-04-14,2970741
119,2025-04-16,2103369
119,2025-02-08,5901060
119,2025-03-23,1350844
119,2025-01-01,1016094
119,2025-02-08,4389361
119,2025-01-21,1186985
120,2025-01-04,5369262
121,2025-02-03,3212252
121,2025-04-20,6938163
121,2025-02-17,4375542
121,2025-02-02,5336840
122,2025-02-23,686470
122,2025-03-25,4074409
123,2025-01-01,4749292
124,2025-01-23,2636015
124,2025-04-22,223662
124,2025-04-19,1918352
124,2025-04-17,3344571
124,2025-01-17,2994558
125,2025-01-13,4519425
126,2025-01-31,5117226
126,2025-03-22,4011451
126,2025-04-21,2846153
126,2025-03-14,6369026
126,2025-01-10,1204188
126,2025-01-08,5641183
127,2025-04-05,1767788
127,2025-01-17,368602
127,2025-03-16,2494820
127,2025-01-20,762213
127,2025-02-17,56455010
128,2025-02-06,3842849
129,2025-04-10,5215011
130,2025-02-03,969241
130,2025-02-12,649656
130,2025-03-15,3538856
130,2025-04-04,3680885
130,2025-01-22,5788779
130,2025-03-11,3503209
131,2025-03-07,2495265
131,2025-02-01,5818365
132,2025-01-01,6058543
132,2025-04-27,1439083
133,2025-02-22,4906540
133,2025-02-13,3990702
134,2025-01-19,277476
134,2025-04-21,1299217
135,2025-02-19,2353962
135,2025-03-15,5218580
135,2025-04-08,5362611
135,2025-01-26,3049908
135,2025-01-30,6576625
135,2025-03-14,41138800
136,2025-03-11,1235730
136,2025-03-19,6599998
136,2025-03-09,1256649
136,2025-03-31,5562774
136,2025-04-21,6910691
136,2025-04-22,5918812
137,2025-03-21,988976
137,2025-01-30,1691570
137,2025-01-25,274588
137,2025-04-14,3873618
137,2025-03-16,3685854
137,2025-03-12,1630332
137,2025-01-26,4419050
138,2025-01-23,3258546
138,2025-02-16,581438
138,2025-01-13,6716601
138,2025-03-30,6546505
138,2025-03-07,4868424
138,2025-03-07,6170243
139,2025-03-18,4172091
140,2025-02-01,3893868
140,2025-02-23,1888702
140,2025-04-08,3796724
141,2025-04-06,4757448
141,2025-02-23,6256225
141,2025-02-09,4176773
142,2025-04-15,2220100
142,2025-03-15,159072
143,2025-02-14,2263843
143,2025-01-17,2862594
143,2025-03-21,4134941
143,2025-02-04,4301390
143,2025-03-07,489962
143,2025-03-16,4886445
143,2025-02-10,3577899
144,2025-04-21,2186172
144,2025-01-14,1465265
144,2025-02-03,4030131
145,2025-02-27,1422014
146,2025-01-30,3356505
146,2025-01-25,502641
147,2025-04-18,3876764
147,2025-03-27,1615538
147,2025-03-22,6197607
147,2025-04-10,2999675
147,2025-01-17,3499902
147,2025-01-14,4949666
147,2025-04-25,3499618
148,2025-04-04,2867549
149,2025-02-04,5817963
149,2025-02-22,5645636
149,2025-02-16,6872703
149,2025-04-20,5880618
149,2025-03-16,5352371
150,2025-04-12,2072871
150,2025-02-16,2040483
150,2025-04-04,3011898
150,2025-02-13,587335
151,2025-03-09,5648244
151,2025-01-11,3975251
151,2025-03-18,6265331
152,2025-02-17,3085032
152,2025-01-26,6018211
152,2025-04-12,3177195
152,2025-04-16,2426344
152,2025-03-18,3557100
153,2025-02-27,5817467
153,2025-01-28,3199449
153,2025-04-27,3210999
153,2025-03-07,1637746
153,2025-01-10,1729040
153,2025-03-27,2511596
153,2025-03-18,2339564
154,2025-04-22,5193064
154,2025-03-25,2565933
155,2025-01-16,5707968
155,2025-03-07,6869552
155,2025-03-22,6008631
155,2025-04-06,2378845
155,2025-02-12,766252
155,2025-01-08,3150798
155,2025-04-26,2636047
156,2025-01-16,5877020
156,2025-03-19,4561835
156,2025-03-21,3635443
157,2025-04-17,6625940
157,2025-02-18,6360798
157,2025-02-20,526941
158,2025-04-02,5606336
158,2025-01-23,1035709
158,2025-03-19,2585178
158,2025-04-04,6271979
158,2025-04-07,6479022
158,2025-02-14,6674929
159,2025-04-12,1236078
159,2025-02-15,586598
159,2025-02-25,46437580
159,2025-04-28,6162825
159,2025-02-13,633037
159,2025-03-16,3931871
160,2025-01-22,2785662
160,2025-01-20,527709
160,2025-02-02,355539
160,2025-03-13,1850866
160,2025-01-25,3404513
161,2025-01-08,6471400
161,2025-01-16,3268097
161,2025-04-28,2135030
161,2025-02-17,2050852
161,2025-04-19,5334748
161,2025-04-26,112120
162,2025-01-14,2153902
162,2025-02-05,4845920
162,2025-03-23,2321186
162,2025-04-21,5888773
162,2025-04-15,6240213
163,2025-02-18,6201570
163,2025-04-13,3024553
164,2025-03-24,162784
164,2025-02-26,5227736
164,2025-04-30,5364154
164,2025-04-03,5997162
164,2025-01-15,5115152
164,2025-04-09,6608676
164,2025-04-21,5010662
165,2025-03-14,4437739
165,2025-02-10,578365
165,2025-02-08,5256371
165,2025-01-26,3014212
165,2025-01-02,2174242
166,2025-01-27,1634230
166,2025-02-20,6656410
166,2025-03-05,1863796
166,2025-02-21,5551151
166,2025-03-22,4890280
166,2025-02-07,951980
166,2025-04-10,1866299
167,2025-03-04,4994097
168,2025-04-19,5409068
168,2025-03-20,1334599
168,2025-02-12,6211030
169,2025-01-10,2971712
169,2025-04-10,4217143
169,2025-01-20,3077407
169,2025-04-15,955656
170,2025-04-04,1892363
170,2025-04-18,738922
170,2025-04-22,877867
170,2025-04-11,4160861
170,2025-03-04,5662769
171,2025-01-11,1802424
171,2025-03-05,3401643
171,2025-03-14,4275252
171,2025-02-19,1285560
172,2025-01-01,967838
172,2025-03-22,1157880
172,2025-01-25,3187714
172,2025-02-28,4419859
172,2025-03-13,3578192
172,2025-03-10,1671853
173,2025-04-04,885890
173,2025-02-19,4187954
173,2025-01-16,6005686
173,2025-02-02,5724328
173,2025-01-02,1022229
174,2025-02-16,5359245
174,2025-02-13,5146528
174,2025-03-21,2968921
174,2025-01-14,4965368
174,2025-04-03,6552430
174,2025-01-24,3103225
175,2025-04-09,5888854
175,2025-03-28,4802034
175,2025-04-23,6026983
175,2025-03-13,6423617
175,2025-04-02,554529
175,2025-01-23,2444218
175,2025-03-09,2961129
176,2025-04-07,1000542
176,2025-04-23,3311636
176,2025-03-31,4054780
176,2025-03-22,4328416
176,2025-04-13,5429470
176,2025-03-28,3045759
177,2025-04-19,4938094
177,2025-03-29,4737452
177,2025-01-11,3552097
177,2025-02-28,3451191
178,2025-01-28,5483182
178,2025-03-06,3821993
178,2025-01-17,2048058
178,2025-04-05,4788827
178,2025-02-13,6617320
178,2025-01-10,5892819
179,2025-04-14,6917533
179,2025-03-17,2085500
179,2025-02-22,3072881
179,2025-03-19,14099890
179,2025-02-13,268678
179,2025-04-29,4726160
179,2025-03-15,4150501
180,2025-04-22,1135598
180,2025-02-08,2611902
180,2025-01-28,3740377
180,2025-01-30,263944
180,2025-02-06,2696105
180,2025-04-29,3122345
181,2025-04-11,3971018
181,2025-02-25,1170804
181,2025-03-17,6512083
182,2025-04-02,3198350
182,2025-01-23,6012968
182,2025-03-04,4535686
182,2025-04-19,5110281
183,2025-02-02,3677643
183,2025-01-16,4724341
183,2025-01-22,2489911
183,2025-04-23,1826681
183,2025-02-26,6654845
184,2025-01-30,2136721
184,2025-04-13,1740913
184,2025-01-23,6187494
184,2025-02-01,6263185
184,2025-03-27,6077671
184,2025-04-16,6037989
185,2025-01-09,886796
185,2025-01-13,5508520
185,2025-02-27,4759014
186,2025-02-21,4223412
186,2025-02-03,5406175
186,2025-04-06,5748734
187,2025-01-15,5294914
188,2025-01-28,4276852
188,2025-04-05,2787328
188,2025-03-26,6578623
188,2025-04-28,1999955
188,2025-04-08,5823218
188,2025-03-05,2005888
189,2025-04-11,2224365
189,2025-03-25,3170610
189,2025-04-08,3303178
189,2025-02-07,497693
189,2025-01-26,3832238
189,2025-03-23,2072613
189,2025-04-02,2715880
190,2025-02-25,504470
190,2025-02-28,4429394
190,2025-03-11,891624
190,2025-03-19,5188890
190,2025-04-02,5018580
191,2025-01-13,6671863
191,2025-02-12,2956188
192,2025-03-24,2517714
192,2025-01-24,6089138
192,2025-01-26,4818740
192,2025-02-14,4058905
193,2025-04-10,1209229
193,2025-04-16,3993623
193,2025-01-29,4486897
193,2025-01-17,6731915
194,2025-03-15,5931723
194,2025-01-25,3480796
194,2025-04-05,1611546
194,2025-03-08,4921699
195,2025-01-27,111009
195,2025-03-30,4472472
195,2025-01-18,1823480
195,2025-02-23,3799397
195,2025-01-01,6781369
195,2025-03-02,2091367
195,2025-04-22,5669634
196,2025-04-24,3298454
196,2025-03-24,5758307
196,2025-02-25,1046984
196,2025-02-16,23853620
196,2025-03-31,2942894
196,2025-04-13,3550375
196,2025-01-10,6187205
197,2025-04-05,5602285
197,2025-03-12,4484432
197,2025-03-24,1790792
197,2025-01-31,1731570
197,2025-02-21,2075556
197,2025-04-13,3590678
198,2025-02-17,3735192
198,2025-04-19,4684470
199,2025-03-12,4264133
199,2025-04-01,1755464
199,2025-02-16,1506819
199,2025-03-20,5658474
199,2025-04-20,6776240
199,2025-01-13,978835
200,2025-04-02,6522892
200,2025-01-24,5137657
200,2025-04-03,2479093
201,2025-01-04,6407561
202,2025-04-30,797389
203,2025-02-02,4555978
203,2025-04-03,6532975
204,2025-01-03,5027611
204,2025-04-28,6476457
204,2025-02-24,4004840
204,2025-01-14,3920730
204,2025-02-27,2949310
204,2025-03-30,2948411
204,2025-01-15,3444443
205,2025-03-05,4689079
205,2025-04-22,1199469
206,2025-04-01,1287171
206,2025-02-08,3033361
206,2025-03-04,521655
206,2025-03-20,5721402
206,2025-01-26,5423940
206,2025-03-06,899717
206,2025-04-30,5747069
207,2025-03-15,3401112
207,2025-02-28,1293728
207,2025-03-03,5161354
207,2025-03-22,6412330
208,2025-01-09,4018446
208,2025-01-11,2668921
208,2025-03-16,5034164
208,2025-03-11,4912940
209,2025-03-11,235797
210,2025-02-16,2682229
210,2025-04-01,5269719
210,2025-04-24,3212734
210,2025-04-26,4930165
210,2025-03-19,6666692
211,2025-03-12,4879897
211,2025-02-11,1816548
211,2025-02-17,5052505
211,2025-03-15,4504003
211,2025-04-24,1118143
211,2025-03-22,4200321
211,2025-01-30,4258527
212,2025-02-07,3563227
212,2025-01-25,2557856
212,2025-01-26,1861856
212,2025-03-18,2441102
212,2025-02-28,3671488
213,2025-01-30,6351936
213,2025-02-26,753668
213,2025-02-18,3504158
213,2025-02-17,2756040
214,2025-02-25,5080142
215,2025-03-10,5152683
216,2025-01-19,2940152
216,2025-03-01,2650552
216,2025-04-17,952224
216,2025-01-29,2492735
216,2025-02-19,5518626
216,2025-01-02,1461968
217,2025-01-17,659031
218,2025-03-17,5544003
218,2025-03-01,2219228
218,2025-01-20,4535728
218,2025-02-19,306384
219,2025-03-09,4439242
219,2025-03-22,3088088
219,2025-02-19,6554833
220,2025-01-11,394957
220,2025-04-29,2001737
220,2025-01-20,5272494
220,2025-04-12,5085248
220,2025-01-24,2447855
221,2025-03-29,1085461
221,2025-03-29,5931759
221,2025-03-14,2721021
221,2025-03-27,3455361
221,2025-03-17,5810912
222,2025-03-30,1276957
223,2025-03-27,3589550
223,2025-03-15,6989053
223,2025-03-02,3995090
223,2025-02-27,1945786
224,2025-04-09,962219
224,2025-02-22,5366221
224,2025-03-02,1818303
224,2025-02-15,4152127
224,2025-03-26,1374856
224,2025-03-15,3901082
224,2025-03-21,3446668
225,2025-02-05,583075
225,2025-02-23,4059770
225,2025-02-23,6903928
225,2025-04-29,1877310
225,2025-01-17,427370
225,2025-04-19,3028751
225,2025-03-16,5551731
226,2025-02-15,1936517
226,2025-04-23,451637
226,2025-02-04,6819018
226,2025-01-04,5197586
226,2025-03-21,277946
226,2025-03-21,5237956
227,2025-02-14,2126393
227,2025-01-26,3102083
227,2025-01-22,4626226
227,2025-04-29,2479897
227,2025-02-27,1394416
228,2025-01-17,5978263
228,2025-02-09,543035
228,2025-02-07,3199072
228,2025-03-26,2135115
228,2025-03-02,6750723
228,2025-01-09,6173770
228,2025-03-18,5204961
229,2025-01-02,6875996
229,2025-04-16,1095791
229,2025-04-18,2320943
230,2025-02-26,2953501
230,2025-03-22,2927433
230,2025-04-13,6382444
231,2025-01-19,6280509
231,2025-01-07,1997459
231,2025-01-09,4340012
232,2025-03-23,5664396
232,2025-03-02,4217095
232,2025-03-28,2680309
233,2025-03-19,5251946
233,2025-03-21,4347328
234,2025-01-31,4836416
234,2025-02-17,4163997
234,2025-04-20,4812838
235,2025-03-31,6112621
235,2025-01-06,38513870
235,2025-04-17,2879060
235,2025-02-18,4657418
235,2025-03-14,583791
235,2025-02-19,1770930
235,2025-03-22,2258714
236,2025-04-10,761259
236,2025-02-28,710326
236,2025-02-05,1345749
236,2025-01-03,1056277
236,2025-02-27,2326941
236,2025-03-29,1518180
236,2025-02-24,4796298
237,2025-02-08,61709280
238,2025-02-14,892515
238,2025-03-17,6010838
239,2025-03-24,4034740
240,2025-04-23,1861331
240,2025-02-13,1977329
240,2025-02-01,2992970
240,2025-01-10,415315
240,2025-03-05,250594
241,2025-03-20,2772452
241,2025-01-17,2314979
241,2025-04-18,3505851
241,2025-03-08,296211
241,2025-03-15,1936082
241,2025-02-16,6827348
241,2025-04-16,2337699
242,2025-04-18,4687281
242,2025-01-01,5607200
242,2025-01-03,4902850
242,2025-03-08,477332
242,2025-02-06,184153
242,2025-03-24,6060158
242,2025-01-29,5078234
243,2025-04-10,1408064
244,2025-02-02,2638361
244,2025-01-22,4069411
244,2025-02-17,6487952
244,2025-01-03,6069677
244,2025-03-28,1068410
245,2025-02-12,3711880
245,2025-04-05,794934
245,2025-03-26,1140835
245,2025-01-26,1978292
245,2025-02-10,6726532
246,2025-03-29,1368962
246,2025-01-11,5234629
247,2025-04-21,1134780
248,2025-02-18,1564123
248,2025-01-22,5726306
248,2025-03-19,1856608
248,2025-04-23,2667228
248,2025-02-26,849045
248,2025-01-14,5411634
248,2025-02-13,972109
249,2025-04-12,3201004
250,2025-02-24,2010155
